2022-01-28 21:23:19,119:__main__:Add: 10 + 5 = 15
2022-01-28 21:23:19,120:__main__:Sub: 10 - 5 = 5
2022-01-28 21:23:19,120:__main__:Mul: 10 * 5 = 50
2022-01-28 21:23:19,120:__main__:Div: 10 / 5 = 2.0
2022-01-28 21:38:26,066:__main__:()
2022-01-28 21:38:26,067:__main__:()
2022-01-28 21:38:26,067:__main__:()
2022-01-28 21:38:26,068:__main__:()
2022-01-28 21:43:22,316:__main__:()
2022-01-28 21:43:22,317:__main__:()
2022-01-28 21:43:22,317:__main__:()
2022-01-28 21:43:22,317:__main__:()
2022-01-28 21:43:24,295:__main__:()
2022-01-28 21:43:24,295:__main__:()
2022-01-28 21:43:24,295:__main__:()
2022-01-28 21:43:24,295:__main__:()
2022-01-29 15:11:23,129:__main__:()
2022-01-29 15:11:23,129:__main__:()
2022-01-29 15:11:23,129:__main__:()
2022-01-29 15:11:23,144:__main__:()
